Séance,Instrument,Ticker,Ouverture,Dernier_Cours,+haut_du_jour,+bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
30/01/2026,VICENNE,VCN,435.0,428.1,438.0,425.0,8585,3682556.8,220,4391813685.0
29/01/2026,VICENNE,VCN,440.0,440.0,444.8,436.0,8218,3614661.5,108,4513894000.0
28/01/2026,VICENNE,VCN,426.2,440.0,444.9,426.2,7028,3090523.4,126,4513894000.0
27/01/2026,VICENNE,VCN,429.0,425.1,435.0,421.0,7948,3376110.95,168,4361037135.0
26/01/2026,VICENNE,VCN,432.0,420.2,435.0,420.0,9781,4132991.45,331,4310768770.0
23/01/2026,VICENNE,VCN,450.0,435.0,450.0,435.0,12092,5274684.05,233,4462599750.0
22/01/2026,VICENNE,VCN,446.0,449.0,454.3,445.15,2344,1049864.4,107,4606223650.0
21/01/2026,VICENNE,VCN,448.9,445.0,448.9,440.2,1965,870476.7,81,4565188250.0
20/01/2026,VICENNE,VCN,445.0,440.1,453.9,436.2,5202,2299327.05,228,4514919885.0
19/01/2026,VICENNE,VCN,450.0,452.9,460.0,449.0,2128,959500.45,108,4646233165.0
16/01/2026,VICENNE,VCN,450.3,453.0,460.0,450.3,5149,2338891.75,150,4647259050.0
15/01/2026,VICENNE,VCN,456.0,455.0,456.5,451.0,5152,2344293.95,119,4667776750.0
13/01/2026,VICENNE,VCN,461.0,457.05,463.0,456.5,10931,5029479.15,136,4688807392.5
12/01/2026,VICENNE,VCN,465.0,461.8,470.0,455.1,10430,4814707.85,239,4737536930.0
09/01/2026,VICENNE,VCN,465.0,470.0,472.0,463.0,9234,4334827.25,110,4821659500.0
08/01/2026,VICENNE,VCN,470.0,472.0,472.0,462.1,6123,2868225.75,163,4842177200.0
07/01/2026,VICENNE,VCN,475.2,473.3,480.0,473.3,5675,2703187.7,197,4855513705.0
06/01/2026,VICENNE,VCN,477.0,480.0,485.0,476.0,28354,13669077.35,300,4924248000.0
17/03/2026,VICENNE,VCN,386.0,382.0,388.0,382.0,8052,3090597.65,67,3918880700.0
16/03/2026,VICENNE,VCN,385.0,381.0,390.0,381.0,7887,3007522.25,100,3908621850.0
13/03/2026,VICENNE,VCN,390.1,382.0,395.4,382.0,2541,982449.3,121,3918880700.0
12/03/2026,VICENNE,VCN,393.0,390.0,395.0,385.5,4771,1846923.55,70,4000951500.0
11/03/2026,VICENNE,VCN,400.0,384.0,404.0,384.0,3996,1545221.2,122,3939398400.0
10/03/2026,VICENNE,VCN,406.0,395.0,406.0,395.0,13126,5199375.55,141,4052245750.0
09/03/2026,VICENNE,VCN,384.0,380.0,394.9,372.0,23376,8895752.15,299,3898363000.0
06/03/2026,VICENNE,VCN,419.0,396.0,424.0,396.0,12715,5074900.55,239,4062504600.0
05/03/2026,VICENNE,VCN,399.0,408.0,410.0,395.0,6908,2790399.8,138,4185610800.0
04/03/2026,VICENNE,VCN,370.0,380.0,399.5,370.0,18286,7110611.55,434,3898363000.0
03/03/2026,VICENNE,VCN,377.0,365.0,388.0,365.0,43024,16073041.15,683,3744480250.0
02/03/2026,VICENNE,VCN,395.0,400.0,409.6,390.65,74451,29843534.05,621,4103540000.0
27/02/2026,VICENNE,VCN,438.0,434.0,444.95,432.5,21697,9472482.9,109,4452340900.0
26/02/2026,VICENNE,VCN,432.2,445.0,449.9,432.2,14297,6365352.1,134,4565188250.0
25/02/2026,VICENNE,VCN,440.0,445.0,445.0,431.5,7317,3249918.6,125,4565188250.0
24/02/2026,VICENNE,VCN,442.9,440.0,442.9,436.0,2258,993053.4,66,4513894000.0
23/02/2026,VICENNE,VCN,441.0,435.1,447.0,435.1,13748,6019418.4,259,4463625635.0
20/02/2026,VICENNE,VCN,429.0,432.0,434.0,426.15,5098,2194409.95,65,4431823200.0
19/02/2026,VICENNE,VCN,430.2,430.0,439.0,430.0,646,278286.5,37,4411305500.0
18/02/2026,VICENNE,VCN,444.0,431.9,445.0,431.9,7690,3361168.2,110,4430797315.0
17/02/2026,VICENNE,VCN,440.0,438.0,445.0,432.0,14347,6285260.4,68,4493376300.0
16/02/2026,VICENNE,VCN,436.0,446.0,446.0,436.0,1998,886306.5,75,4575447100.0
13/02/2026,VICENNE,VCN,448.0,444.0,450.0,439.2,7326,3264575.85,145,4554929400.0
12/02/2026,VICENNE,VCN,418.0,450.0,450.0,417.0,37926,16844981.0,232,4616482500.0
11/02/2026,VICENNE,VCN,414.05,419.0,419.0,410.05,3113,1290663.15,85,4298458150.0
10/02/2026,VICENNE,VCN,412.05,417.0,417.0,412.05,4771,1976254.9,88,4277940450.0
09/02/2026,VICENNE,VCN,423.0,418.5,423.0,412.0,1560,650661.1,83,4293328725.0
06/02/2026,VICENNE,VCN,410.0,420.0,420.0,401.1,28412,11642526.15,423,4308717000.0
05/02/2026,VICENNE,VCN,428.9,411.1,428.9,411.1,44652,18582813.3,321,4217413235.0
04/02/2026,VICENNE,VCN,422.0,429.85,429.85,422.0,723,306946.6,62,4409766672.5
03/02/2026,VICENNE,VCN,420.0,428.0,428.0,420.0,830,351424.05,74,4390787800.0
02/02/2026,VICENNE,VCN,429.0,420.0,433.0,420.0,22192,9400828.4,195,4308717000.0
30/01/2026,VICENNE,VCN,435.0,428.1,438.0,425.0,8585,3682556.8,220,4391813685.0
29/01/2026,VICENNE,VCN,440.0,440.0,444.8,436.0,8218,3614661.5,108,4513894000.0
28/01/2026,VICENNE,VCN,426.2,440.0,444.9,426.2,7028,3090523.4,126,4513894000.0
27/01/2026,VICENNE,VCN,429.0,425.1,435.0,421.0,7948,3376110.95,168,4361037135.0
26/01/2026,VICENNE,VCN,432.0,420.2,435.0,420.0,9781,4132991.45,331,4310768770.0
23/01/2026,VICENNE,VCN,450.0,435.0,450.0,435.0,12092,5274684.05,233,4462599750.0
22/01/2026,VICENNE,VCN,446.0,449.0,454.3,445.15,2344,1049864.4,107,4606223650.0
21/01/2026,VICENNE,VCN,448.9,445.0,448.9,440.2,1965,870476.7,81,4565188250.0
20/01/2026,VICENNE,VCN,445.0,440.1,453.9,436.2,5202,2299327.05,228,4514919885.0
19/01/2026,VICENNE,VCN,450.0,452.9,460.0,449.0,2128,959500.45,108,4646233165.0
16/01/2026,VICENNE,VCN,450.3,453.0,460.0,450.3,5149,2338891.75,150,4647259050.0
15/01/2026,VICENNE,VCN,456.0,455.0,456.5,451.0,5152,2344293.95,119,4667776750.0
13/01/2026,VICENNE,VCN,461.0,457.05,463.0,456.5,10931,5029479.15,136,4688807392.5
12/01/2026,VICENNE,VCN,465.0,461.8,470.0,455.1,10430,4814707.85,239,4737536930.0
09/01/2026,VICENNE,VCN,465.0,470.0,472.0,463.0,9234,4334827.25,110,4821659500.0
08/01/2026,VICENNE,VCN,470.0,472.0,472.0,462.1,6123,2868225.75,163,4842177200.0
07/01/2026,VICENNE,VCN,475.2,473.3,480.0,473.3,5675,2703187.7,197,4855513705.0
06/01/2026,VICENNE,VCN,477.0,480.0,485.0,476.0,28354,13669077.35,300,4924248000.0
17/03/2026,VICENNE,VCN,386.0,382.0,388.0,382.0,8052,3090597.65,67,3918880700.0
16/03/2026,VICENNE,VCN,385.0,381.0,390.0,381.0,7887,3007522.25,100,3908621850.0
13/03/2026,VICENNE,VCN,390.1,382.0,395.4,382.0,2541,982449.3,121,3918880700.0
12/03/2026,VICENNE,VCN,393.0,390.0,395.0,385.5,4771,1846923.55,70,4000951500.0
11/03/2026,VICENNE,VCN,400.0,384.0,404.0,384.0,3996,1545221.2,122,3939398400.0
10/03/2026,VICENNE,VCN,406.0,395.0,406.0,395.0,13126,5199375.55,141,4052245750.0
09/03/2026,VICENNE,VCN,384.0,380.0,394.9,372.0,23376,8895752.15,299,3898363000.0
06/03/2026,VICENNE,VCN,419.0,396.0,424.0,396.0,12715,5074900.55,239,4062504600.0
05/03/2026,VICENNE,VCN,399.0,408.0,410.0,395.0,6908,2790399.8,138,4185610800.0
04/03/2026,VICENNE,VCN,370.0,380.0,399.5,370.0,18286,7110611.55,434,3898363000.0
03/03/2026,VICENNE,VCN,377.0,365.0,388.0,365.0,43024,16073041.15,683,3744480250.0
02/03/2026,VICENNE,VCN,395.0,400.0,409.6,390.65,74451,29843534.05,621,4103540000.0
27/02/2026,VICENNE,VCN,438.0,434.0,444.95,432.5,21697,9472482.9,109,4452340900.0
26/02/2026,VICENNE,VCN,432.2,445.0,449.9,432.2,14297,6365352.1,134,4565188250.0
25/02/2026,VICENNE,VCN,440.0,445.0,445.0,431.5,7317,3249918.6,125,4565188250.0
24/02/2026,VICENNE,VCN,442.9,440.0,442.9,436.0,2258,993053.4,66,4513894000.0
23/02/2026,VICENNE,VCN,441.0,435.1,447.0,435.1,13748,6019418.4,259,4463625635.0
20/02/2026,VICENNE,VCN,429.0,432.0,434.0,426.15,5098,2194409.95,65,4431823200.0
19/02/2026,VICENNE,VCN,430.2,430.0,439.0,430.0,646,278286.5,37,4411305500.0
18/02/2026,VICENNE,VCN,444.0,431.9,445.0,431.9,7690,3361168.2,110,4430797315.0
17/02/2026,VICENNE,VCN,440.0,438.0,445.0,432.0,14347,6285260.4,68,4493376300.0
16/02/2026,VICENNE,VCN,436.0,446.0,446.0,436.0,1998,886306.5,75,4575447100.0
13/02/2026,VICENNE,VCN,448.0,444.0,450.0,439.2,7326,3264575.85,145,4554929400.0
12/02/2026,VICENNE,VCN,418.0,450.0,450.0,417.0,37926,16844981.0,232,4616482500.0
11/02/2026,VICENNE,VCN,414.05,419.0,419.0,410.05,3113,1290663.15,85,4298458150.0
10/02/2026,VICENNE,VCN,412.05,417.0,417.0,412.05,4771,1976254.9,88,4277940450.0
09/02/2026,VICENNE,VCN,423.0,418.5,423.0,412.0,1560,650661.1,83,4293328725.0
06/02/2026,VICENNE,VCN,410.0,420.0,420.0,401.1,28412,11642526.15,423,4308717000.0
05/02/2026,VICENNE,VCN,428.9,411.1,428.9,411.1,44652,18582813.3,321,4217413235.0
04/02/2026,VICENNE,VCN,422.0,429.85,429.85,422.0,723,306946.6,62,4409766672.5
03/02/2026,VICENNE,VCN,420.0,428.0,428.0,420.0,830,351424.05,74,4390787800.0
02/02/2026,VICENNE,VCN,429.0,420.0,433.0,420.0,22192,9400828.4,195,4308717000.0
30/01/2026,VICENNE,VCN,435.0,428.1,438.0,425.0,8585,3682556.8,220,4391813685.0
29/01/2026,VICENNE,VCN,440.0,440.0,444.8,436.0,8218,3614661.5,108,4513894000.0
28/01/2026,VICENNE,VCN,426.2,440.0,444.9,426.2,7028,3090523.4,126,4513894000.0
27/01/2026,VICENNE,VCN,429.0,425.1,435.0,421.0,7948,3376110.95,168,4361037135.0
26/01/2026,VICENNE,VCN,432.0,420.2,435.0,420.0,9781,4132991.45,331,4310768770.0
23/01/2026,VICENNE,VCN,450.0,435.0,450.0,435.0,12092,5274684.05,233,4462599750.0
22/01/2026,VICENNE,VCN,446.0,449.0,454.3,445.15,2344,1049864.4,107,4606223650.0
21/01/2026,VICENNE,VCN,448.9,445.0,448.9,440.2,1965,870476.7,81,4565188250.0
20/01/2026,VICENNE,VCN,445.0,440.1,453.9,436.2,5202,2299327.05,228,4514919885.0
19/01/2026,VICENNE,VCN,450.0,452.9,460.0,449.0,2128,959500.45,108,4646233165.0
16/01/2026,VICENNE,VCN,450.3,453.0,460.0,450.3,5149,2338891.75,150,4647259050.0
15/01/2026,VICENNE,VCN,456.0,455.0,456.5,451.0,5152,2344293.95,119,4667776750.0
13/01/2026,VICENNE,VCN,461.0,457.05,463.0,456.5,10931,5029479.15,136,4688807392.5
12/01/2026,VICENNE,VCN,465.0,461.8,470.0,455.1,10430,4814707.85,239,4737536930.0
09/01/2026,VICENNE,VCN,465.0,470.0,472.0,463.0,9234,4334827.25,110,4821659500.0
08/01/2026,VICENNE,VCN,470.0,472.0,472.0,462.1,6123,2868225.75,163,4842177200.0
07/01/2026,VICENNE,VCN,475.2,473.3,480.0,473.3,5675,2703187.7,197,4855513705.0
06/01/2026,VICENNE,VCN,477.0,480.0,485.0,476.0,28354,13669077.35,300,4924248000.0
05/01/2026,VICENNE,VCN,460.0,475.0,475.0,459.0,18193,8558360.9,210,4872953750.0
02/01/2026,VICENNE,VCN,460.0,459.0,460.0,445.3,11027,5024314.7,113,4708812150.0
31/12/2025,VICENNE,VCN,450.0,449.9,462.0,449.9,14339,6474880.9,219,4615456615.0
30/12/2025,VICENNE,VCN,446.0,449.9,460.0,441.0,16870,7554803.9,243,4615456615.0
16/10/2025,VICENNE,VCN,437.0,440.0,445.0,437.0,13777,6072171.25,142,4513894000.0
15/10/2025,VICENNE,VCN,450.0,436.0,450.0,426.0,54765,23763468.4,473,4472858600.0
14/10/2025,VICENNE,VCN,458.2,446.0,463.0,443.5,7386,3313940.0,218,4575447100.0
13/10/2025,VICENNE,VCN,470.0,463.0,470.0,457.25,6175,2843674.0,147,4749847550.0
10/10/2025,VICENNE,VCN,466.9,470.1,472.0,464.3,9033,4242371.65,185,4822685385.0
09/10/2025,VICENNE,VCN,471.1,468.0,472.0,467.1,6753,3165149.6,132,4801141800.0
08/10/2025,VICENNE,VCN,475.0,472.1,475.0,466.05,11617,5455510.15,258,4843203085.0
07/10/2025,VICENNE,VCN,475.0,475.5,482.0,471.7,76791,36761005.35,551,4878083175.0
06/10/2025,VICENNE,VCN,451.1,470.0,470.0,451.1,365254,170087703.7,823,4821659500.0
03/10/2025,VICENNE,VCN,440.0,445.0,450.0,436.5,72159,32114444.3,273,4565188250.0
02/10/2025,VICENNE,VCN,411.0,425.0,429.9,405.0,45881,19364072.65,526,4360011250.0
01/10/2025,VICENNE,VCN,431.0,433.0,441.0,430.0,11585,5016827.05,321,4442082050.0
30/09/2025,VICENNE,VCN,434.0,450.0,450.0,401.0,41168,18118597.0,548,4616482500.0
29/09/2025,VICENNE,VCN,437.6,434.0,439.8,430.0,15948,6930566.8,289,4452340900.0
26/09/2025,VICENNE,VCN,441.1,440.0,445.0,437.15,24817,10915246.7,190,4513894000.0
25/09/2025,VICENNE,VCN,443.2,445.0,448.0,440.2,15719,6952230.5,158,4565188250.0
24/09/2025,VICENNE,VCN,450.3,440.2,455.9,440.2,11282,5011505.0,254,4515945770.0
23/09/2025,VICENNE,VCN,452.5,450.0,459.0,450.0,10514,4749341.55,219,4616482500.0
22/09/2025,VICENNE,VCN,450.1,451.0,453.0,447.2,3604,1622908.35,135,4626741350.0
19/09/2025,VICENNE,VCN,455.0,451.1,459.95,450.0,3439,1560476.15,167,4627767235.0


























